author,year,identifier,title,journal,keyword_time,keyword_place,described_species,described_genus,described_fam_ord,nov_fam,nov_gen,nov_sp,DOI,abstract,author1,journal_detail,pubtype,language,reference_display,reference_key
"Averianov A., Popov E., ",1995,,"A new species of chimaeroid fish from the Upper Cretaceous of the Saratov region, Russia",Palaeontology,,,,,,,,,,,Averianov,,Journal article,English,Averianov & Popov 1995,averianov & popov 1995
"Averianov A. V., Popov E. V., ",2014,,A pterosaurian vertebra from the Upper Cretaceous of the Saratov Region,Paleontological Journal,,,,,,,,,,,Averianov,,Journal article,English,Averianov & Popov 2014,averianov & popov 2014
"Averianov, A.O. & Udovichenko, N.I.",1993,,Age of vertebrates from the Andarak locality (southern Fergana).,Stratigraphy and Geological Correlation,"Paleogene, Eocene","Asia, Uzbekistan","Nebrius blanckenhorni, Rhynchobatis vincenti, Rhinobatus bruxelliensis, Rhinobatos alaicus, Pristis lathami, Dasyatis carasuensis, Dasyatis tochtabusiensis, Glykmania turkestanensis, Coupatezia woutersi, Hypolophodon sp., Gymnura transita, Rhinoptera cf. raeburni, Rhinoptera sherborni, Burnhamia daviesi, Myliobatis dixoni, Myliobatis striatus, Myliobatis sp., Aetobatis irregularis, Aetobatis sp., Abdounia osipovae, Abdounia minutissima, Abdounia aff. beaugei, Physodon secundus, Physodon tertius, Scoliodon cf. longus, Scoliodon eocenus, Galeorhinus aff. microdon, Galeorhinus tenius, Galeorhinus cf. minor, Galeorhinus loangoensis, Galeocerdo cf. latidens, Odontaspis acutissima, Odontaspis vincenti, Odontaspis aff. teretidens, Odontaspis sp., Striatolamia macrota, Carcharocles subserratus,",,,,,,,no abstract,Averianov,"Stratigraphy and Geological Correlation, 1 (3): 139–141, 1 fig.",Journal article,English,Averianov & Udovichenko 1993,averianov & udovichenko 1993
"Averianov A. O., Yarkov A. A., ",2004,a,"New turtle remains from the Late Cretaceous and Paleogene of Volgograd Region, Russia",Russian Journal of Herpetology,,,,,,,,,,,Averianov,,Journal article,English,Averianov & Yarkov 2004a,averianov & yarkov 2004a
"Averianov A. O., Yarkov A. A., ",2004,b,"Carnivorous dinosaurs (Saurischia, Theropoda) from the Maastrichtian of the Volga-Don interfluve, Russia",Paleontological Journal,,,,,,,,,,,Averianov,,Journal article,unknown,Averianov & Yarkov 2004b,averianov & yarkov 2004b
"Averianov A.O., Yarkov A.A., ",2006,,Enigmatic bilophodont molariform tooth from the Eocene of Central Russia,Russian Journal of Theriology,,,,,,,,,,,Averianov,,Journal article,English,Averianov & Yarkov 2006,averianov & yarkov 2006
"Averianov A. O.,  , ",1997,,Paleogene sea snakes from the eastern part of Tethys,Russian Journal of Herpetology,,,,,,,,,,,Averianov,,Journal article,,Averianov 1997,averianov 1997
"Averianov, A.O.",1997,b,"Additions to the selachian fauna of the Russian Cretaceous. 2. A new species of Paracorax Cappetta, 1977 (Chondrichthyes: Anacoracidae).",Zoosystematica Rossica,"Cretaceous, Late Cretaceous, Santonian","Asia, Russia",,Paracorax unilateralis,,,,Paracorax unilateralis,,"Paracorax unilateralis sp. n. from the Upper Santonian deposits near Kikino village in Penza Prov., Russia is described. It is characterized by the low tooth-crown without serration on the mesial side.",Averianov,"Zoosystematica Rossica, 6: 315–316, 2 fig.",Journal article,English,Averianov 1997b,averianov 1997b
"Averianov, A.O.",1997,c,"Additions to the selachian fauna of the Russian Cretaceous. 1. A new species of Protosqualus Cappetta, 1977 (Chondrichthyes: Squalidae).",Zoosystematica Rossica,"Cretaceous, Late Cretaceous, Cenomanian","Asia, Russia",,Protosqualus glickmani,,,,Protosqualus glickmani,,"Protosqualus glickmani sp. n. from the Lower Cenomanian deposits near Sinenkie village in Saratov Prov., Russia is described. It differs from the two previously known species of the genus in the wider cusp, more parallel edges of the apron, right angle between the planes of crown and root, and larger size.",Averianov,"Zoosystematica Rossica, 5: 319–320, 2 fig.",Journal article,English,Averianov 1997c,averianov 1997c
"Averianov A. O.,  , ",2001,,"The first find of a dolichosaur (Squamata, Dolichosauridae) in central Asia",Paleontological Journal,,,,,,,,,,,Averianov,,Journal article,English,Averianov 2001,averianov 2001
"Ávila S. P., Ramalho R. S., R. Vullo",2012,,"Systematics, palaeoecology and palaeobiogeography of the Neogene fossil sharks from the Azores (Northeast Atlantic)",Annales de Paléontologie,,,,,,,,,10.1016/j.annpal.2012.04.001,,Ávila,,Journal article,English,Ávila et al. 2012,avila et al. 2012
"Ávila S. P., Ramalho R. S., J. M. Habermann, R. Quartau, A. Kroh, B. Berning, M. Johnson, M. X. Kirby, V. Zanon, J. Titschack, A. Goss, A. C. Rebelo, C. Melo, P. Madeira, R. Cordeiro, R. Meireles, L. Bagaço, A. Hipólito, A. Uchman, C. M. da Silva, M. Cachão, J. Madeira",2015,,"Palaeoecology, taphonomy, and preservation of a lower Pliocene shell bed (coquina) froma volcanic oceanic island (Santa Maria Island, Azores)","Palaeogeography, Palaeoclimatology, Palaeoecology",,,,,,,,,10.1016/j.palaeo.2015.04.015,,Ávila,,Journal article,English,Ávila et al. 2015,avila et al. 2015
"Avnimelech M.,  , ",1949,,On Vertebrate Remains in Senonian Phosphate Beds in Transjordan,Eclogae Geologicae Helvetiae,,,,,,,,,,,Avnimelech,,Journal article,English,Avnimelech 1949,avnimelech 1949
"Nielsen K. -B.,  , ",1926,,Kalken paa Saltholm,Danmarks Geologiske Undersøgelse,,,,,,,,,10.34194/raekke4.v1.6961,,Nielsen,,Journal article,unknown,Nielsen 1926,nielsen 1926
"Báez Gómez, D.A.",2006,,Estudio paleoambiental de la formación Pisco: Localidad Ocucaje. (Paleoenvironment studies of the Pisco formation: Ocucaje locality),Inicio,"Neogene, Pliocene","South America, Peru","Isurus hastalis, Carcharocles megalodon, Carcharinus sp., Myliobatis sp.",,,,,,,"The Cerro La Bruja outarop included into Pisco Formation related to fosiliferous content (mollusca and vertebrades) get a exactly datation of series, developed by marine sediments interbeded volcanics of volcanic activities from Cordillera occidental and diatomites, related to volcanics activities. In this Formation were found since thousand mile years a huge faune from marine vertebrates. This fauna is well know and it includes fish (selaceous and teleosteous), reptiles (turtles and cocodriles), binds and marine mamiferos (spheniscidae, phocidae). The funistic association shows sedimentary enviromment represent to this litoestratigrafic unit, go from shoreface to onshore, to abundance and good preservation of fosils shows a fast sandy. The tectonic activity in the area is strong and its shows in the variation from sea level (transgressive – regressive) log in the outcrop up shong marks to seven levels of backward from sea level, showing a relationships to sedimentary process. ",Baéz Goméz,"Inicio, 9 (18): 64–69",Journal article,Spanish,Báez Gómez 2006,baez gomez 2006
"Baier, J. & Schmitt, K.-H. & Mick, R.",2004,,"Notizen zur untermiozänen Hai- und Rochenfauna der Erminger Turritellenplatte (Mittlere Schwäbische Alb, SW-Deutschland).",Jahresberichte und Mitteilungen des Oberrheinischen Geologischen Vereins,"Neogene, Miocene, Burdigalian","Europe, Germany","Notorynchus primigenius, Centrophorus cf. granulosus, Squatina sp., Odontaspis molassica, Synodontaspis acutissima, Synodontaspis cuspidata, Mitsukurina lineata, Carcharoides catticus, Isurus hastalis, Alopias exigua, Scyliorhinus sp., Triakis angustidens, Hemipristis sp., Isogomphodon acuarius, Carcharhinus priscus, Carcharhinus similis, Carcharhinus sp., Galeocerdo aduncus, Physogaleus sp., Rhizoprionodon sp., Sphyrna sp., Dasyatis sp., Aetobatus sp., Myliobatis sp., Rhinoptera sp.",,,,,,,"The selachian fauna of 'Erminger Turritellenplatte' (Upper Marine Molasse, tOM) is described. The fauna reflects mainly a near-coastal and shallow marine environment, although bathyal forms also occur. The fauna is compared with the selachian faunas of Walbertsweiler (tOM) and Eggingen-Mittelhart 3 (Grimmelfingen Formation, resp. Graupensande). The latter fauna cannot be regarded as a redeposited marine fauna of Upper Marine Molasse.",Baier,"Jahresberichte und Mitteilungen des Oberrheinischen Geologischen Vereins, N.F., 86: 361-371",Journal article,German,Baier et al. 2004,baier et al. 2004
"Baird D., Horner J. R., ",1979,,Cretaceous dinosaurs of North Carolina,Brimleyana,,,,,,,,,,,Baird,,Journal article,English,Baird & Horner 1979,baird & horner 1979
"Baird D.,  , ",1984,,Evidence of giant protostegid sea-turtles in the Cretaceous of New Jersey,The Mosasaur,,,,,,,,,,,Baird,,Journal article,English,Baird 1984,baird 1984
"Baird D., Case G.R.",1966,,Rare marine reptiles from the Cretaceous of New Jersey.,Journal of Paleontology,,,,,,,,,,,Baird,,Journal article,English,Baird & Case 1966,baird & case 1966
"Bajpai, S. & Thewissen, J.G.M.",2001,,"Vertebrate fauna from Panandhro lignite field (Lower Eocene), District Kachchh, western India.",Current Science,"Paleogene, Eocene","Asia, India",,"Myliobatis sp., Galeocerdo sp., Isurus sp.",,,,,,no abstract,Bajpai,"Current Science, 82 (5): 507–509",Journal article,English,Bajpai & Thewissen 2001,bajpai & thewissen 2001
"Bajpai S., Prasad G. V. R., ",2000,,"Cretaceous age for Ir-rich Deccan intertrappean deposits: palaeontological evidence from Anjar, western India","Journal of the Geological Society, London",,,,,,,,,10.1144/jgs.157.2.257,,Bajpai,,Journal article,English,Bajpai & Prasad 2000,bajpai & prasad 2000
"Bajpai S., Thewissen J. G. M., ",2002,,"Vertebrate fauna from Panandhro lignite field (Lower Eocene), District Kachchh, western India",Current Science,,,,,,,,,10.1007/978-1-4899-0159-0_7,,Bajpai,,Journal article,English,Bajpai & Thewissen 2002,bajpai & thewissen 2002
"Bakker, M. & Bakker, D.",2003,,Symfysaire Notorynchus primigenius onderkaakstand uit het Mioceen van Miste.,Afzettingen,"Neogene, Miocene","Europe, Netherland",Notorynchus primigenius,,,,,,,no abstract,Bakker,"Afzettingen, Mistenummer - jubileumgraafactie september 2003: 35.",Journal article,Dutch,Bakker & Bakker 2003,bakker & bakker 2003
"Balbino A. C., Antunes M. T., ",2006,,"Latest Miocene Dasyatidae (Neoselachii, Batomorphii) from the Alvalade Basin, Portugal",Geobios,,,,,,,,,10.1016/j.geobios.2005.07.002,,Balbino,,Journal article,English,Balbino & Antunes 2006,balbino & antunes 2006
"Balbino, A.C. & Antunes, M.T.",2007,,Pathologic tooth deformities in fossil and modern sharks related to jaw injuries.,"Comptes Rendus, Palevol","Neogene, Miocene, Cretaceous, Late Cretaceous","Africa, Angola","Galeocerdo cuvier, Carcharoides totuserratus, Squalicorax pristodontus, Carcharocles megalodon, Negaprion cf. eurybathrodon, ",,,,,,10.1016/j.crpv.2006.12.004,"Dental abnormalities in a tiger shark Galeocerdo cuvier and in Carcharoides totuserratus are presented here again, along with some further ones in shark teeth. Comparisons are made with fossil and modern shark teeth abnormalities. A coalescent set of two Squalicorax pristodontus teeth is described. The gibbous shape of the crown is similar to that in S. kaupi, the preceding species of the same lineage. It therefore suggests that the differentiation of the most derived species S. pristodontus may have resulted from kaupi through size increase and development of jaws, becoming more spacious, with teeth getting broader mesio-distally. An abnormal Carcharocles megalodon tooth is described. We regard it as a left lateral tooth from the mandible, whose crown is much deformed. Its features suggest trauma resulting from a feeding accident, maybe through biting the very compact bones of its more likely common prey, Halianassa sirenians. The last case concerns an abnormal Negaprion tooth. The most remarkable differences apart from the normal teeth concern the crown, which is irregular in shape. It shows some torsion, which also occurs in the root. A well-marked notch occurs in the mesial side. The cusp is somewhat labially bent. Trauma on the tooth-forming tissues seems to be responsible for the abnormalities under study. As far as we could ascertain, no lemon-shark dental abnormalities have previously been described. Our results stress that tooth modifications resulting from injuries to the tooth-producing tissues occurred since long ago in similar ways as in extant sharks. Biting prey's hard skeletal parts seems as always the main cause for injuries.",Balbino,"Comptes Rendus, Palevol, 6 (3): 197-209",Journal article,French,Balbino & Antunes 2007,balbino & antunes 2007
"Balbino, A.C. & Cappetta, H.",2000,,"Paragaleus antunesi (Hemigaleidae, Carcharhiniformes) a new shark species from the latest Miocene of Portugal.",Tertiary Research,"Neogene, Miocene","Europe, Portugal",Paragaleus antunesi,,,,,Paragaleus antunesi,,"A new hemigaleid shark species, Paragaleus antunesi sp. nov., is described from teeth collected in deposits of the Esbarrondadoiro Formation (Alvalade Basin, Baixo Alentejo Province, Southern Portugal). The age is latest Miocene/Late Messinian, and corresponds to the MN13 ""mammal unit"" (after an associated small mammal fauna ). The magnetostratigraphic age is about 5.3 to 5.8 Ma.",Balbino,"Tertiary Research, 20 (1-4): 1-6, 3 fig., pl. 1-2.",Journal article,English,Balbino & Cappetta 2000,balbino & cappetta 2000
"Barck A.,  , ",1992,,"Paleontology of the Glen Rose Formation (lower Cretaceous), Hood County, Texas",The Texas Journal of Science,,,,,,,,,,,Barck,,Journal article,English,Barck 1992,barck 1992
"Bardack D.,  , ",1968,,Fossil vertebrates from the marine Cretaceous of Manitoba,Canadian Journal of Earth Sciences,,,,,,,,,10.1139/e68-013,,Bardack,,Journal article,unknown,Bardack 1968,bardack 1968
"Bardet N., Pereda Suberbiola X., ",2002,,Marine reptiles from the Late Cretaceous Phosphates of Jordan: palaeobiogeographical implications,Geodiversitas,,,,,,,,,,,Bardet,,Journal article,English,Bardet & Pereda Suberbiola 2002,bardet & pereda suberbiola 2002
"Bardet N.,  , ",2012,,The mosasaur collections of the Museum National d'Histoire Naturelle of Paris,Bulletin de la Societe Geologique de France,,,,,,,,,10.2113/gssgfbull.183.1.35,,Bardet,,Journal article,English,Bardet 2012,bardet 2012
